Date,Miles
3/19/2023,8
3/20/2023,8
3/21/2023,9
3/22/2023,11
3/23/2023,8
3/24/2023,12
3/25/2023,0
3/26/2023,10
3/27/2023,19
3/28/2023,7
3/29/2023,13
3/30/2023,26
3/31/2023,14
4/1/2023,0
4/2/2023,30
4/3/2023,20
4/4/2023,2
4/5/2023,23
4/6/2023,10
4/7/2023,23
4/8/2023,0
4/9/2023,32
4/10/2023,12
4/11/2023,23
4/12/2023,32
4/13/2023,15
4/14/2023,0
4/15/2023,0
4/16/2023,0
4/17/2023,0
4/18/2023,0
4/19/2023,0
4/20/2023,0
4/21/2023,0
4/22/2023,0
4/23/2023,26
4/24/2023,0
4/25/2023,0
4/26/2023,0
4/27/2023,10
4/28/2023,0
4/29/2023,0
4/30/2023,0
5/1/2023,25
5/2/2023,15
5/3/2023,20
5/4/2023,0
5/5/2023,37
5/6/2023,27
5/7/2023,0
5/8/2023,50
5/9/2023,20
5/10/2023,20
5/11/2023,14
5/12/2023,0
5/13/2023,0
5/14/2023,0
5/15/2023,0
5/16/2023,0
5/17/2023,0
5/18/2023,0
5/19/2023,0
5/20/2023,0
5/21/2023,0
5/22/2023,0
5/23/2023,10
5/24/2023,20
5/25/2023,15
5/26/2023,10
5/27/2023,14
5/28/2023,0
5/29/2023,25
5/30/2023,10
5/31/2023,0
6/1/2023,20
6/2/2023,0
6/3/2023,0
6/4/2023,0
6/5/2023,15
6/6/2023,15
6/7/2023,15